customer_id	units_total
37	4
38	1
40	3
42	1
43	3
44	3
45	1
46	3
110	123
47	12
48	3
49	4
50	4
51	1
52	4
53	2
54	2
55	3
56	2
58	3
59	6
60	1
61	2
62	3
63	1
66	4
67	4
64	1
68	2
69	1
70	4
71	1
72	3
73	8
75	6
76	2
78	1
79	3
80	1
74	4
83	1
86	16
88	1
89	1
92	2
93	3
94	1
95	3
98	4
99	2
100	3
102	3
107	4
104	2
105	2
106	1
1	54
103	1
108	1
111	6
112	2
113	3
114	1
115	3
117	2
118	4
120	10
121	2
122	1
123	2
124	1
125	4
126	3
127	1
128	3
129	1
0	2151
130	1
132	9
133	2
135	2
136	2
137	1
139	22
140	6
141	3
142	3
143	6
144	1
145	4
146	1
147	1
148	1
149	1
150	15
151	5
153	2
155	2
156	14
157	2
158	3
159	3
160	2
161	3
162	3
163	1
164	8
165	1
166	1
167	4
168	2
169	1
170	2
172	2
173	3
174	7
175	2
176	3
177	2
178	1
179	3
180	5
181	3
183	2
186	2
187	1
189	2
190	2
192	3
193	2
195	2
196	8
198	1
199	4
201	3
194	3
203	2
204	13
205	3
207	1
206	10
208	1
202	2
213	5
214	1
215	1
217	5
218	2
219	1
220	4
221	1
222	1
223	1
224	1
225	3
227	3
228	2
229	1
230	1
231	6
232	3
233	1
234	1
235	6
236	2
154	2
238	2
239	1
240	17
241	2
242	4
244	2
243	8
245	2
246	3
248	1
249	2
250	2
251	2
252	1
254	3
255	2
256	1
257	1
258	1
259	2
260	2
261	1
262	2
263	3
264	2
265	1
266	2
267	1
268	2
269	2
270	1
271	4
272	2
273	2
275	3
277	3
278	2
279	2
216	6
281	3
283	4
284	2
285	6
286	3
287	1
290	5
291	5
292	3
293	3
294	3
295	1
296	3
297	1
298	3
300	5
301	2
302	2
303	2
305	3
306	1
307	4
308	2
309	2
310	1
311	3
312	5
315	2
316	2
317	1
320	2
321	3
322	11
323	4
324	1
325	1
328	1
329	1
330	1
288	1
319	3
331	1
332	2
333	1
334	1
335	5
336	1
337	3
340	1
341	5
342	7
343	1
344	3
345	3
346	2
347	1
348	6
350	1
351	2
349	4
352	2
353	2
355	1
357	1
358	1
359	3
361	2
360	5
362	2
364	3
368	1
370	1
371	1
373	7
374	4
375	7
376	2
377	1
378	1
379	1
380	1
382	3
383	1
384	1
385	2
386	1
387	7
389	3
390	1
391	1
393	1
394	4
396	1
397	1
398	3
399	1
400	1
401	1
402	1
403	3
404	1
405	3
406	1
407	2
408	1
226	3
410	2
412	6
413	2
414	5
415	1
416	1
418	3
419	8
420	1
422	1
423	6
424	7
426	1
428	1
430	3
431	4
432	3
433	6
435	3
436	4
437	6
438	8
441	2
442	5
443	2
444	4
446	3
447	2
448	1
449	2
453	1
454	1
455	1
457	2
459	1
460	3
461	3
462	2
464	2
465	2
466	4
467	3
469	1
470	1
471	4
468	10
472	3
473	2
474	1
475	1
477	5
478	1
479	4
484	1
485	3
486	1
487	5
488	2
489	1
490	1
491	1
492	3
493	4
366	10
495	5
497	11
498	1
499	8
500	2
501	1
502	4
503	6
504	7
505	4
506	5
507	2
508	1
511	2
513	1
509	7
512	1
514	3
515	8
517	2
519	5
520	1
521	2
522	1
523	6
526	1
527	1
528	3
531	2
532	5
533	5
534	1
535	1
536	1
537	21
538	1
541	2
542	4
543	1
544	10
545	4
546	6
547	1
548	4
549	3
550	1
554	5
555	3
556	2
557	2
558	8
559	1
561	1
562	1
563	4
564	2
565	2
566	1
567	1
570	2
571	2
572	1
573	4
574	1
576	1
578	7
579	1
580	4
581	1
583	2
586	5
588	3
589	1
591	2
594	3
595	1
596	1
597	8
598	3
587	12
599	1
600	5
584	2
603	23
602	1
604	2
605	2
607	2
608	1
606	8
609	1
610	2
611	2
613	5
614	1
612	3
616	2
617	1
620	1
622	2
623	2
624	1
625	2
626	4
627	4
628	3
630	5
631	5
632	1
633	1
634	1
635	9
636	1
638	3
640	1
629	9
641	5
525	3
639	5
642	1
643	3
35	86
644	2
645	2
646	9
647	3
648	1
649	21
650	2
651	6
652	1
653	3
654	2
656	3
657	4
658	5
655	16
659	1
660	2
661	1
662	2
663	2
664	3
665	3
666	1
667	2
668	4
669	1
670	2
671	16
672	1
673	1
674	2
675	3
676	2
678	2
679	1
680	1
681	1
682	9
683	3
684	1
685	2
686	1
687	3
689	1
691	3
692	3
693	1
695	2
696	1
697	11
698	2
699	2
700	1
701	1
702	1
703	6
704	3
705	5
706	2
707	1
708	1
709	1
710	2
711	2
713	1
715	6
716	1
717	1
722	16
724	3
726	3
728	1
730	2
731	2
733	2
712	8
734	1
735	1
736	1
737	4
738	3
740	26
741	14
742	13
743	1
744	3
745	2
748	2
200	1
719	2
750	3
749	14
751	1
752	2
753	1
755	1
757	67
758	1
759	1
760	1
762	3
764	4
765	5
767	4
766	16
768	1
769	2
770	1
771	2
772	5
773	1
775	1
777	1
778	1
780	4
782	1
783	8
785	1
784	3
789	1
791	2
793	3
794	1
795	1
796	4
797	5
798	3
799	2
800	1
802	1
803	1
804	3
805	3
806	5
807	2
808	2
809	3
810	4
811	3
812	1
814	1
816	9
817	1
818	6
820	1
822	2
823	2
824	1
825	1
827	3
828	1
829	1
831	1
834	4
835	4
836	1
838	2
839	1
840	4
841	2
842	2
843	2
844	3
845	1
846	5
847	2
848	16
850	8
851	1
852	8
853	1
854	1
855	1
856	15
858	9
859	1
860	3
862	1
864	1
865	1
867	1
868	1
869	2
870	4
871	1
872	20
873	1
874	2
875	1
876	6
877	2
878	1
879	1
881	2
882	2
883	4
884	1
885	1
886	1
887	2
888	2
889	3
891	1
892	2
893	1
894	1
895	2
896	1
901	1
903	1
904	1
906	1
907	1
909	2
911	1
912	2
913	1
914	1
916	3
919	5
920	3
921	2
925	1
927	3
928	1
930	5
931	21
922	4
932	2
934	1
935	1
937	1
938	3
939	2
940	3
943	1
944	4
945	3
946	1
947	1
948	2
949	2
950	3
951	4
952	1
953	1
954	1
957	1
958	1
959	1
960	2
961	3
962	2
963	4
965	3
966	5
967	6
969	7
970	3
968	7
972	1
973	4
974	2
975	1
976	2
978	1
979	1
981	6
982	3
983	4
986	4
987	3
988	1
989	1
990	1
991	1
992	1
994	3
995	1
996	4
997	1
999	7
1000	1
1001	2
1002	6
1003	5
1004	1
1005	1
1006	1
1007	1
1008	1
1009	5
1010	1
1011	1
1012	1
1013	3
1014	3
1015	1
1016	1
1018	11
1019	1
1020	2
1022	1
1023	3
1024	2
1026	2
1028	3
1030	2
1031	2
1032	12
1033	1
1037	1
1038	1
1039	1
1040	1
1041	2
1042	9
1043	4
1044	1
1046	1
1047	2
1048	4
1049	3
1051	1
1052	1
1053	3
1054	2
1055	1
1056	1
1057	4
1058	1
1059	1
1060	1
1061	2
1062	2
1064	2
1065	1
1067	1
1068	1
1069	1
1070	9
1071	1
1072	2
1074	3
1076	4
1077	1
1078	1
1080	1
1082	1
1083	2
1084	1
1085	5
1086	1
1087	7
1089	1
1090	1
1091	1
1093	2
1094	1
1095	2
1096	1
1097	1
1098	6
1100	6
1101	2
1102	1
1104	4
1105	1
1107	3
1108	3
1109	1
1111	1
1113	1
1110	2
1114	2
1115	2
1116	1
1117	1
1118	2
1119	1
1120	1
1121	1
1122	1
1123	1
1124	2
1125	1
1126	1
1128	4
1129	1
1131	14
1132	6
1134	1
1135	3
1137	1
1138	3
1139	1
1141	1
1142	1
1143	1
1144	2
1145	1
1146	1
1149	1
1150	7
1151	1
1152	1
1153	2
1154	2
1155	3
1156	1
1157	8
1158	3
1159	5
1161	1
